0,1,2,3
0.10000000000000002,-0.15,0.55,0.025
0.13589734964313366,0.1456412726139078,0.55,0.025
0.030291524193434755,-0.1328184038479815,0.55,0.025
0.19946839873611927,0.11227661222566519,0.55,0.025
-0.023447579884048414,-0.08520971200967342,0.55,0.025
0.24025243640281224,0.05319073305638029,0.55,0.025
-0.048906331114708074,-0.018080502038298547,0.55,0.025
0.24890633111470814,-0.01808050203829822,0.55,0.025
-0.04025243640281234,0.05319073305637998,0.55,0.025
0.22344757988404879,-0.08520971200967294,0.55,0.025
0.0005316012638802159,0.11227661222566471,0.55,0.025
0.169708475806566,-0.1328184038479811,0.55,0.025
0.06410265035686591,0.1456412726139077,0.55,0.025
