,participant,condition,param_0,param_1,rmse
0,U1,Virtual_Cursor_ID_ISO_15_plane,0.014898969780592611,0.00011537927295834285,0.7909810954766439
1,U1,Virtual_Cursor_Ergonomic_ISO_15_plane,1.9431261033588774e-05,0.00011835743128787323,1.94526302189567
2,U1,Virtual_Pad_ID_ISO_15_plane,0.030129168941751373,4.788359305096601e-05,1.3406527750010158
3,U1,Virtual_Pad_Ergonomic_ISO_15_plane,1.0281864241494466e-05,4.198575714667038e-06,1.4394066709788942
4,U2,Virtual_Cursor_ID_ISO_15_plane,0.053045356042113564,7.125511298498675e-08,0.7356913910730454
5,U2,Virtual_Cursor_Ergonomic_ISO_15_plane,0.1914813156446196,2.8534383150108925e-05,1.3501686315607382
6,U2,Virtual_Pad_ID_ISO_15_plane,0.011139512558996765,8.655410277380758e-05,1.321285442180951
7,U2,Virtual_Pad_Ergonomic_ISO_15_plane,1.1399403585578962e-07,8.947613615650399e-07,1.6783016278767031
8,U3,Virtual_Cursor_ID_ISO_15_plane,0.020428629912452336,3.537778109650022e-07,1.0566327613076003
9,U3,Virtual_Cursor_Ergonomic_ISO_15_plane,6.774230777827838e-05,5.0375126770003e-06,1.7646417744214349
10,U3,Virtual_Pad_ID_ISO_15_plane,0.0002785774908408981,2.4594784850327414e-05,1.4701043702260803
11,U3,Virtual_Pad_Ergonomic_ISO_15_plane,1.806264370210492e-08,1.1108293784159216e-06,1.1236323878458183
12,U4,Virtual_Cursor_ID_ISO_15_plane,0.0018850562972926865,3.8432279046809545e-07,0.7282372660962648
13,U4,Virtual_Cursor_Ergonomic_ISO_15_plane,0.0012600676193093513,5.1776332678437404e-05,0.5898170474208042
14,U4,Virtual_Pad_ID_ISO_15_plane,0.0007183104700713232,9.19462006652433e-05,0.7644868632268798
15,U4,Virtual_Pad_Ergonomic_ISO_15_plane,0.0020537902639792193,2.4785582868133256e-05,0.5138466857053581
16,U5,Virtual_Cursor_ID_ISO_15_plane,0.0009504807161931441,0.0002089400582568787,1.7402652484358987
17,U5,Virtual_Cursor_Ergonomic_ISO_15_plane,0.1468014110724536,6.791453271076449e-14,1.8117708459551347
18,U5,Virtual_Pad_ID_ISO_15_plane,0.06154603446104643,1.5468924693073977e-12,1.10395739872081
19,U5,Virtual_Pad_Ergonomic_ISO_15_plane,0.08026567775825189,5.181978286624626e-05,1.274002928455426
20,U6,Virtual_Cursor_ID_ISO_15_plane,0.010979049635277202,1.9167293621591497e-06,0.6352651182501424
21,U6,Virtual_Cursor_Ergonomic_ISO_15_plane,0.0002449832789736831,1.9352217982817723e-05,0.7639038644510171
22,U6,Virtual_Pad_ID_ISO_15_plane,0.00808776907380157,1.0689518322869274e-05,0.6821843261435587
23,U6,Virtual_Pad_Ergonomic_ISO_15_plane,0.003635255292399145,1.7853998815012391e-06,0.4579301108134804
