,participant,condition,param_0,param_1,rmse
0,U1,Virtual_Cursor_ID_ISO_15_plane,0.001184018786557924,4.245599171916894e-05,0.4962853005738173
1,U1,Virtual_Cursor_Ergonomic_ISO_15_plane,9.177127457156713e-05,0.00022327155117904412,1.7834285560444272
2,U1,Virtual_Pad_ID_ISO_15_plane,0.056086212849489434,3.1336760344868914e-05,1.172112213877023
3,U1,Virtual_Pad_Ergonomic_ISO_15_plane,3.0346690831023804e-09,1.5580892907134685e-05,1.874422657070017
4,U2,Virtual_Cursor_ID_ISO_15_plane,0.07849055085405336,4.6609039222989935e-05,0.5598194665256385
5,U2,Virtual_Cursor_Ergonomic_ISO_15_plane,0.02588833756909482,0.00016777526615527165,1.1032034144233918
6,U2,Virtual_Pad_ID_ISO_15_plane,0.045711634863034714,0.00011641563929701527,0.6077445926477308
7,U2,Virtual_Pad_Ergonomic_ISO_15_plane,6.178296930815085e-09,2.7051773819156216e-05,1.9085400452632528
8,U3,Virtual_Cursor_ID_ISO_15_plane,0.021320315765109548,1.096929475747771e-06,1.166902951313706
9,U3,Virtual_Cursor_Ergonomic_ISO_15_plane,0.00020755641317421198,3.798753280591922e-07,2.131976962053016
10,U3,Virtual_Pad_ID_ISO_15_plane,0.016666397278890466,1.0237238219372095e-05,1.610239383299076
11,U3,Virtual_Pad_Ergonomic_ISO_15_plane,0.029483081251797372,1.8343798801868307e-08,1.9777055705676585
12,U4,Virtual_Cursor_ID_ISO_15_plane,0.011670230032953047,0.00010528742368043683,0.4969142226408719
13,U4,Virtual_Cursor_Ergonomic_ISO_15_plane,0.0001574228014302541,1.3210223241596218e-05,0.6522739593655132
14,U4,Virtual_Pad_ID_ISO_15_plane,0.009278250420799812,5.07227458238116e-05,0.4660485855868636
15,U4,Virtual_Pad_Ergonomic_ISO_15_plane,3.0808473695141897e-06,5.725322327764977e-05,0.6044832568033064
16,U5,Virtual_Cursor_ID_ISO_15_plane,0.013124061213788297,0.00030283342646601774,0.6710101813735302
17,U5,Virtual_Cursor_Ergonomic_ISO_15_plane,0.1288664754432497,1.028338145471185e-05,1.6185325442403784
18,U5,Virtual_Pad_ID_ISO_15_plane,0.04302907938022982,0.0001336459319229041,0.7155627559184979
19,U5,Virtual_Pad_Ergonomic_ISO_15_plane,0.09046767184155363,0.00015201832591639757,0.8979191685667965
20,U6,Virtual_Cursor_ID_ISO_15_plane,0.01761212015502549,1.3005271900851016e-05,0.476685282745149
21,U6,Virtual_Cursor_Ergonomic_ISO_15_plane,1.048363084519505e-09,5.203678413779094e-06,0.9034963761277208
22,U6,Virtual_Pad_ID_ISO_15_plane,0.009937206816642596,1.3613286825095223e-05,0.5765800071443461
23,U6,Virtual_Pad_Ergonomic_ISO_15_plane,0.30036156956912435,9.556035522206532e-10,0.7317572519077179
